LOCATION_ID,LOCAL_NAME,LOCAL_ENG_NAME,CITY_NAME,CITY_ENG_NAME,COUNTRY_CODE
31000,수도권,capital,서울특별시,Seoul,1101
31010,수도권,capital,인천광역시,Incheon,2300
31020,수도권,capital,수원시,Suwon,3111
31030,수도권,capital,성남시,Seongnam,
31040,수도권,capital,의정부시,Uijeongbu,3113
31050,수도권,capital,안양시,Anyang,
31060,수도권,capital,부천시,Bucheon,
31070,수도권,capital,광명시,Gwangmyeong,
31080,수도권,capital,평택시,Pyeongtaek,
31090,수도권,capital,동두천시,Dongducheon,
31100,수도권,capital,안산시,Ansan,
31110,수도권,capital,고양시,Goyang,
31120,수도권,capital,과천시,Gwacheon,
31130,수도권,capital,구리시,Guri,
31140,수도권,capital,남양주시,Namyangju,
31150,수도권,capital,오산시,Osan,
31160,수도권,capital,시흥시,Siheung,
31170,수도권,capital,군포시,Gunpo,
31180,수도권,capital,의왕시,Uiwang,
31190,수도권,capital,하남시,Hanam,
31200,수도권,capital,용인시,Yongin,3145
31210,수도권,capital,파주시,Paju,
31220,수도권,capital,이천시,Icheon,
31230,수도권,capital,안성시,Anseong,
31240,수도권,capital,김포시,Gimpo,
31250,수도권,capital,화성시,Hwaseong,
31260,수도권,capital,광주시,Gwangju,
31270,수도권,capital,양주시,Yangju,
31280,수도권,capital,포천시,Pocheon,
31290,수도권,capital,여주시,Yeoju,
31300,수도권,capital,연천군,Yeoncheon,
31310,수도권,capital,가평군,Gapyeong,
31320,수도권,capital,양평군,Yangpyeong,
32010,강원도,gangwon,춘천시,Chuncheon,3211
32020,강원도,gangwon,원주시,Wonju,
32030,강원도,gangwon,강릉시,Gangneung,
32040,강원도,gangwon,동해시,Donghae,
32050,강원도,gangwon,태백시,Taebaek,
32060,강원도,gangwon,속초시,Sokcho,
32070,강원도,gangwon,삼척시,Samcheok,
32080,강원도,gangwon,홍천군,Hongcheon,
32090,강원도,gangwon,횡성군,Hoengseong,
32100,강원도,gangwon,영월군,Yeongwol,
32110,강원도,gangwon,평창군,Pyeongchang,
32120,강원도,gangwon,정선군,Jeongseon,
32130,강원도,gangwon,철원군,Cheorwon,
32140,강원도,gangwon,화천군,Hwacheon,
32150,강원도,gangwon,양구군,Yanggu,
32160,강원도,gangwon,인제군,Inje,
32170,강원도,gangwon,고성군,Goseong,
32180,강원도,gangwon,양양군,Yangyang,
33010,충청북도,chungbuk,충주시,Chungju,
33020,충청북도,chungbuk,제천시,Jecheon,
33030,충청북도,chungbuk,보은군,Boeun,
33040,충청북도,chungbuk,옥천군,Okcheon,
33050,충청북도,chungbuk,영동군,Yeongdong,
33060,충청북도,chungbuk,진천군,Jincheon,
33070,충청북도,chungbuk,괴산군,Goesan,
33080,충청북도,chungbuk,음성군,Eumseong,
33090,충청북도,chungbuk,단양군,Danyang,
33100,충청북도,chungbuk,증평군,Jeungpyeong,
33110,충청북도,chungbuk,청주시,Cheongju,3311
34010,충청남도,chungnam,대전광역시,Daejeon,2501
34020,충청남도,chungnam,세종특별자치시,Sejong,
