VEGETABLE_CODE,LOCATION_ID
111,31000
111,31080
111,31140
111,31160
111,31200
111,31210
111,31220
111,31230
111,31240
111,31250
111,31290
111,31300
111,31310
111,31320
111,32020
111,32030
111,32080
111,32090
111,32130
111,32140
111,32170
111,32180
111,33010
111,33020
111,33030
111,33040
111,33060
111,33080
111,33090
111,33100
111,34010
111,34020
111,34030
111,34040
111,34050
111,34060
111,34130
111,34140
111,34150
111,34160
111,34170
111,35010
111,35030
111,35090
111,35120
111,35140
111,36020
111,36030
111,36040
111,36050
111,36060
111,36070
111,36080
111,36120
111,36130
111,36140
111,36150
111,36160
111,36200
111,37040
111,37080
111,37100
111,37320
111,37360
111,37370
111,37400
111,38020
111,38050
111,38090
111,38140
111,38190
112,37010
141,32160
141,33090
141,35110
141,37060
141,37420
151,31290
151,32020
151,34040
151,34110
151,35070
151,35110
151,35120
151,36140
151,36160
151,37040
151,37060
151,38010
151,38040
151,38050
151,38080
152,32100
152,32110
152,32170
152,34020
152,35020
152,35050
152,35130
152,36010
152,36100
152,36200
152,37370
152,37410
152,37420
152,37430
152,37011
152,38070
152,38090
152,38130
161,36020
162,35010
164,31300
211,31010
211,31100
211,31280
211,32010
211,32050
211,32070
211,32090
211,32100
211,32110
211,32120
211,33020
211,33070
211,34010
211,34070
211,34090
211,34160
211,35010
211,35080
211,36010
211,36020
211,36140
211,36150
211,36210
211,37340
211,37390
211,37011
211,38010
212,32050
212,39010
213,31030
213,31280
213,36220
213,38140
214,31100
214,34080
214,35040
214,37090
223,31030
223,31080
223,31100
223,32010
223,32140
223,33060
223,34070
223,34170
223,36030
223,36080
223,36100
223,37080
223,37390
223,38030
223,38110
224,31030
224,32140
224,33060
224,35140
224,36170
224,36210
224,37430
224,38100
231,31010
231,32120
231,34010
231,34070
231,34090
231,35080
231,36150
232,38090
233,31090
241,34150
241,35050
241,35070
241,35100
241,35110
241,35120
241,36100
241,37040
241,37310
241,37330
241,37340
241,37350
241,37390
241,37410
241,37420
242,31250
242,32010
242,32160
242,33010
242,33070
242,34020
242,34130
242,34140
242,38120
242,38200
243,31260
243,33020
243,33080
244,37070
245,34050
245,34140
245,35060
245,35130
245,36090
245,37070
245,37310
245,38160
245,39010
246,31010
246,34050
246,34060
246,34090
246,34150
246,36220
247,35050
247,35060
251,31260
251,37310
251,38070
252,31160
252,35140
252,36030
252,37010
252,37330
252,38190
253,36070
253,38010
254,31130
254,31140
254,31180
254,31270
254,31320
254,33100
254,36170
254,37020
254,38060
255,32170
255,38130
256,32150
256,36110
256,36130
256,38040
256,38120
256,38130
256,38150
256,38170
256,38190
258,31200
258,32030
258,32070
258,33090
258,34060
258,34160
258,35060
258,35080
258,36160
258,36200
258,37320
258,38040
258,38080
258,38100
258,38140
258,38160
258,39010
262,37100
262,38150
312,33040
312,37050
313,37010
314,37050
315,31210
315,31320
315,34040
315,34080
315,34170
315,37360
315,38160
316,31140
316,31300
316,31310
316,34030
316,34110
316,37050
316,37360
316,37380
317,31200
317,32020
317,36080
317,36110
317,36190
317,37380
317,38030
317,38120
317,38170
317,38200
318,37030
321,31260
321,31270
321,32180
321,34130
321,37020
322,36120
322,37380
322,37410
322,38070
322,38080
,
